getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
timezoneTransitionsTablePage	timezone_transitions_table_page_	timezone_transitions			61	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10436,src/core/catalog_manager.cpp:10438,src/core/catalog_manager.cpp:10439,src/core/catalog_manager.cpp:12357,src/core/catalog_manager.cpp:19676,src/core/catalog_manager.cpp:20002
timezoneLeapSecondsTablePage	timezone_leap_seconds_table_page_	timezone_leap_seconds			62	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10442,src/core/catalog_manager.cpp:10444,src/core/catalog_manager.cpp:10445,src/core/catalog_manager.cpp:12362,src/core/catalog_manager.cpp:19677,src/core/catalog_manager.cpp:20003
reservedWordsTablePage	reserved_words_table_page_	reserved_words			63	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10449,src/core/catalog_manager.cpp:10451,src/core/catalog_manager.cpp:10452,src/core/catalog_manager.cpp:12367,src/core/catalog_manager.cpp:19678,src/core/catalog_manager.cpp:20004
emulationProfileTablePage	emulation_profile_table_page_	emulation_profile			64	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10455,src/core/catalog_manager.cpp:10457,src/core/catalog_manager.cpp:10458,src/core/catalog_manager.cpp:12372,src/core/catalog_manager.cpp:19679,src/core/catalog_manager.cpp:20005
parserProfilesTablePage	parser_profiles_table_page_	parser_profiles			65	1	0	no	ok	21	2	0	src/core/catalog_manager.cpp:10461,src/core/catalog_manager.cpp:10463,src/core/catalog_manager.cpp:10464,src/core/catalog_manager.cpp:12377,src/core/catalog_manager.cpp:19680,src/core/catalog_manager.cpp:20006
parserCapabilityEntriesTablePage	parser_capability_entries_table_page_	parser_capability_entries			66	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10467,src/core/catalog_manager.cpp:10469,src/core/catalog_manager.cpp:10470,src/core/catalog_manager.cpp:12382,src/core/catalog_manager.cpp:19681,src/core/catalog_manager.cpp:20007
parserTransformEntriesTablePage	parser_transform_entries_table_page_	parser_transform_entries			67	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10473,src/core/catalog_manager.cpp:10475,src/core/catalog_manager.cpp:10476,src/core/catalog_manager.cpp:12387,src/core/catalog_manager.cpp:19682,src/core/catalog_manager.cpp:20008
parserErrorMapEntriesTablePage	parser_error_map_entries_table_page_	parser_error_map_entries			68	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10479,src/core/catalog_manager.cpp:10481,src/core/catalog_manager.cpp:10482,src/core/catalog_manager.cpp:12392,src/core/catalog_manager.cpp:19683,src/core/catalog_manager.cpp:20009
parserFeaturePrecedenceTablePage	parser_feature_precedence_table_page_	parser_feature_precedence			69	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10485,src/core/catalog_manager.cpp:10487,src/core/catalog_manager.cpp:10488,src/core/catalog_manager.cpp:12398,src/core/catalog_manager.cpp:19684,src/core/catalog_manager.cpp:20010
partitionedTablesTablePage	partitioned_tables_table_page_	partitioned_tables			70	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10492,src/core/catalog_manager.cpp:10494,src/core/catalog_manager.cpp:10495,src/core/catalog_manager.cpp:12403,src/core/catalog_manager.cpp:19685,src/core/catalog_manager.cpp:20011
